Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention Code
29/04/2021 13:29,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:31,-£35.00,Pre-NtO Discount,School Lane (North Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£0.00,73
29/04/2021 13:31,£0.00,Pre-NtO Discount,Oxney Road,Rusholme,Affixed to vehicle,No Waiting At Any Time,£35.00,27
29/04/2021 13:31,£0.00,Pre-NtO Discount,School Lane (South Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£35.00,73
29/04/2021 13:31,£0.00,Pre-NtO Discount,Copson Street,Old Moat,Affixed to vehicle,GV Loading Bay,£35.00,25
29/04/2021 13:31,£0.00,Pre-NtO Discount,DENCOMBE STREET,Longsight,Affixed to vehicle,GV Loading Bay,£35.00,25
29/04/2021 13:31,£0.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:32,£0.00,Pre-NtO Discount,South King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 13:34,£0.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:34,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:35,-£35.00,Pre-NtO Discount,Albany Road,Chorlton,Affixed to vehicle,No Waiting,£0.00,1
29/04/2021 13:36,£0.00,Pre-NtO Discount,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,Postal (from Cctv Review Client),Bus Lane,£0.00,34
29/04/2021 13:36,-£35.00,Pre-NtO Discount,Dagenham Road,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
29/04/2021 13:38,£0.00,Pre-NtO Discount,St James Square,Piccadilly,Affixed to vehicle,Restricted Area,£25.00,5
29/04/2021 13:39,£0.00,Pre-NtO Discount,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 13:39,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£35.00,87
29/04/2021 13:39,£0.00,Pre-NtO Discount,Poland Street,Anc & Besw,Affixed to vehicle,No Waiting,£35.00,1
29/04/2021 13:40,£0.00,Pre-NtO Discount,Great Western Street (Moss Side),Moss Side,Handed To Driver,No Waiting,£35.00,1
29/04/2021 13:41,£0.00,Pre-NtO Discount,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,Postal (from Cctv Review Client),Bus Lane,£0.00,34
29/04/2021 13:41,£0.00,Pre-NtO Discount,Swan Street,Piccadilly,Affixed to vehicle,Pay And Display Parking,£25.00,6
29/04/2021 13:41,-£35.00,Pre-NtO Discount,Albert Hill Street,DidsburyEast,Affixed to vehicle,No Waiting,£0.00,1
29/04/2021 13:42,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:44,£0.00,Pre-NtO Discount,Mayes Street (City Centre : ZONEC),Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 13:45,£0.00,Pre-NtO Discount,Hall Car Park,(None),Affixed to vehicle,Car Park,£25.00,83
29/04/2021 13:45,£0.00,Pre-NtO Discount,Ruskin Avenue,Moss Side,Affixed to vehicle,No Waiting At Any Time,£35.00,1
29/04/2021 13:46,£0.00,Pre-NtO Discount,Wilmslow Road (DidsburyEast),DidsburyEast,Affixed to vehicle,No Loading at Any Time,£35.00,2
29/04/2021 13:46,£0.00,Pre-NtO Discount,Booth Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 13:48,-£25.00,Pre-NtO Discount,Cross Keys Street,Piccadilly,Affixed to vehicle,Limited Waiting,£0.00,30
29/04/2021 13:48,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:48,-£25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
