Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
21/07/2020 11:58,-£35.00,Pre-NtO Discount,Reilly Street,Hulme,Affixed to vehicle,Restricted Area,£0.00,1
21/07/2020 12:00,£0.00,Pre-NtO Discount,Dickenson Road (Rusholme),Rusholme,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/07/2020 12:00,£0.00,Pre-NtO Discount,High Street (City Centre),Piccadilly,Handed To Driver,GV Loading Bay,£35.00,23
21/07/2020 12:01,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:01,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 12:03,£0.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:03,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Handed To Driver,No Waiting,£0.00,1
21/07/2020 12:03,£0.00,Cancelled,Parkville Road,Withington,Affixed to vehicle,No Waiting At Any Time,£0.00,30
21/07/2020 12:04,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:05,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 12:05,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 12:06,£0.00,Pre-NtO Discount,Sagar Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/07/2020 12:07,-£25.00,Pre-NtO Discount,Parkville Road,Withington,Affixed to vehicle,No Waiting At Any Time,£0.00,30
21/07/2020 12:09,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:10,-£25.00,Pre-NtO Discount,Copperas Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,5
21/07/2020 12:11,-£35.00,Pre-NtO Discount,Great Bridgewater Street (City Centre : ZONEB),Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/07/2020 12:11,£0.00,Pre-NtO Discount,Jury Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/07/2020 12:11,£0.00,Pre-NtO Discount,Jury Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/07/2020 12:12,£0.00,Pre-NtO Discount,Waterloo Road,Cheetham,Affixed to vehicle,No Waiting,£35.00,1
21/07/2020 12:13,-£35.00,Pre-NtO Discount,Jury Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/07/2020 12:14,-£35.00,Pre-NtO Discount,Jury Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/07/2020 12:14,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 12:15,-£35.00,Pre-NtO Discount,Great Bridgewater Street (City Centre : ZONEB),Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/07/2020 12:15,£0.00,Post NtO,Deansgate,Deansgate,Postal-vehicle drive away,No Loading at Any Time,£35.00,2
21/07/2020 12:17,-£35.00,Pre-NtO Discount,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/07/2020 12:17,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Handed To Driver,No Waiting,£0.00,1
21/07/2020 12:18,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Waiting,£0.00,1
21/07/2020 12:19,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:19,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:19,-£25.00,Pre-NtO Discount,Sherratt Street (Anc&Bes),Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,5
21/07/2020 12:20,-£30.00,Post NtO,Rochdale Road (Livesey Street to Thompson Street),Harpurhey,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 12:21,-£25.00,Pre-NtO Discount,St Mary`s Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
21/07/2020 12:22,-£25.00,Pre-NtO Discount,South Pump Street,City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,5
21/07/2020 12:22,-£35.00,Pre-NtO Discount,Birchin Lane,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/07/2020 12:22,-£25.00,Pre-NtO Discount,Booth Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
21/07/2020 12:23,£0.00,Pre-NtO Discount,Jury Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/07/2020 12:23,-£35.00,Pre-NtO Discount,Oxford Place (Ardwick),Ardwick,Affixed to vehicle,No Waiting At Any Time,£0.00,26
21/07/2020 12:23,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:23,£0.00,Pre-NtO Discount,Foundry Lane,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/07/2020 12:25,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:27,-£25.00,Pre-NtO Discount,Little Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
21/07/2020 12:29,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:29,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 12:30,£0.00,Pre-NtO Discount,South King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/07/2020 12:31,-£35.00,Pre-NtO Discount,Dewhurst Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/07/2020 12:32,£0.00,Pre-NtO Discount,Lloyd Street,Deansgate,Handed To Driver,No Loading at Any Time,£35.00,2
