Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
02/05/2020 16:40,-£35.00,Post NtO,Stockport Road (Longsight),Longsight,Postal-vehicle drive away,No Waiting,£0.00,1
02/05/2020 16:46,£0.00,Cancelled,Albine Street,Moston,Spoil,No Waiting At Any Time,£0.00,1
02/05/2020 16:47,-£70.00,Pre-NtO Full Rate,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Waiting,£0.00,1
02/05/2020 16:47,-£35.00,Pre-NtO Discount,Cheetham Hill Road (Cheetham),Cheetham,Affixed to vehicle,No Loading at Any Time,£0.00,2
02/05/2020 17:05,-£35.00,Post NtO,Stamford Road (Longsight),Longsight,Postal - Prevented From Serving,Disabled Persons Parking Place,£0.00,40
02/05/2020 17:30,-£105.00,Post CC,Mitre Road,Longsight,Affixed to vehicle,No Loading at Any Time,£0.00,2
03/05/2020 08:28,£0.00,Cancelled,Chorlton Street,Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,25
03/05/2020 08:55,£0.00,Post CC,MAKIN STREET,Eastern Lap,Affixed to vehicle,No Waiting,£105.00,1
03/05/2020 09:20,-£35.00,Pre-NtO Discount,Spear Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
03/05/2020 09:22,£0.00,Pre-NtO Full Rate,Spear Street,Piccadilly,Affixed to vehicle,Restricted Area,£70.00,1
03/05/2020 09:51,-£35.00,Pre-NtO Discount,SMALLWOOD STREET,Newton Heath,Affixed to vehicle,Restricted Area,£0.00,40
03/05/2020 10:16,£0.00,Pre-NtO Full Rate,Parsonage,Deansgate,Affixed to vehicle,No Waiting,£70.00,1
03/05/2020 10:18,£0.00,Pre-NtO Full Rate,Moston Lane (Moston),Moston,Affixed to vehicle,No Waiting At Any Time,£70.00,1
03/05/2020 10:18,-£35.00,Pre-NtO Discount,Pym Street,Moston,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/05/2020 10:39,-£70.00,Pre-NtO Full Rate,Moston Lane (Moston),Moston,Affixed to vehicle,No Waiting At Any Time,£0.00,26
03/05/2020 10:40,-£70.00,Post NtO,Moston Lane (Moston),Moston,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/05/2020 11:34,£0.00,Cancelled,Oldham Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,£0.00,1
03/05/2020 12:04,-£35.00,Pre-NtO Discount,Hulme High Street,Hulme,Affixed to vehicle,Restricted Area,£0.00,40
03/05/2020 12:14,-£35.00,Pre-NtO Discount,Thurloe Street,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/05/2020 12:15,-£35.00,Pre-NtO Discount,Moss Lane East (Moss Side),Moss Side,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/05/2020 13:28,-£35.00,Pre-NtO Discount,Hilton Street (City Centre : ZONEB),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
03/05/2020 13:36,-£35.00,Pre-NtO Discount,Lockett Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/05/2020 13:43,-£35.00,Pre-NtO Discount,Moulton Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/05/2020 14:26,£0.00,Cancelled,Faulkner Street,Deansgate,Postal - Prevented From Serving,Disabled Persons Parking Place,£0.00,40
03/05/2020 15:18,-£35.00,Pre-NtO Discount,Bridge Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/05/2020 16:09,-£35.00,Pre-NtO Discount,Tib Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
03/05/2020 16:18,£0.00,Post CC,Oxford Road (Ardwick),Ardwick,Handed To Driver,No Waiting,£105.00,1
03/05/2020 17:01,-£35.00,Pre-NtO Discount,Park Crescent,Rusholme,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
03/05/2020 17:08,£0.00,Pre-NtO Full Rate,Thurloe Street,Rusholme,Affixed to vehicle,No Loading at Any Time,£70.00,2
03/05/2020 17:13,-£35.00,Pre-NtO Discount,Back Piccadilly,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/05/2020 17:33,-£25.00,Pre-NtO Discount,Hulme Street,Hulme,Affixed to vehicle,Restricted Area,£0.00,6
04/05/2020 08:09,-£25.00,Post NtO,Faulkner Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/05/2020 08:15,-£105.00,Post CC,Kennedy Street,Deansgate,Affixed to vehicle,GV Loading Bay,£0.00,23
