Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/10/2020  09:13,£0.00,Pre-NtO Full Rate,Stockport Road (Longsight),Longsight,Affixed to vehicle,GV Loading Bay,£70.00,25
01/10/2020  09:16,-£25.00,Pre-NtO Discount,Lena Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/10/2020  09:16,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:17,-£35.00,Pre-NtO Discount,Wellington Road (Old Moat),Old Moat,Affixed to vehicle,No Waiting,£0.00,1
01/10/2020  09:17,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Loading,£0.00,2
01/10/2020  09:18,-£35.00,Pre-NtO Discount,Longley Lane (Sharston),Sharston,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/10/2020  09:19,-£25.00,Pre-NtO Discount,Princess Street (Piccadilly : ZONEC),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6
01/10/2020  09:19,£0.00,Cancelled,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:21,£0.00,Post NtO,Wellington Road (Old Moat),Old Moat,Affixed to vehicle,No Waiting,£70.00,1
01/10/2020  09:22,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:23,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:26,£0.00,Cancelled,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:28,-£35.00,Pre-NtO Discount,Kenworthy Lane,Northenden,Affixed to vehicle,No Waiting,£0.00,1
01/10/2020  09:28,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:31,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:32,-£35.00,Pre-NtO Discount,Booth Street East,Hulme,Affixed to vehicle,No Waiting,£0.00,1
01/10/2020  09:32,-£35.00,Pre-NtO Discount,The Beeches,DidsburyWest,Affixed to vehicle,No Waiting,£0.00,1
