Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Contravention,Contravention Description
01/03/2020  03:31: ,£0.00,Pre-NtO Full Rate,LONGWORTH STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  03:32: ,£0.00,Pre-NtO Full Rate,CAMP STREET,Southern Lap,Affixed to vehicle,GV Loading Bay,£70.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  03:34: ,£0.00,Pre-NtO Full Rate,LONGWORTH STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  03:34: ,£0.00,Pre-NtO Full Rate,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  03:35: ,£0.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  03:35: ,-£35.00,Pre-NtO Discount,Sidney Street,Hulme,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
01/03/2020  03:37: ,-£35.00,Pre-NtO Discount,LONGWORTH STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  03:41: ,£0.00,Pre-NtO Full Rate,St John Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  03:47: ,-£35.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Taxi Stand,£0.00,45,Parked on a taxi rank  
01/03/2020  04:17: ,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  04:34: ,£0.00,Cancelled,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
