Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
06/02/2021 13:26,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
06/02/2021 13:26,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 13:27,£0.00,Pre-NtO Full Rate,Booth Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
06/02/2021 13:27,£0.00,Pre-NtO Full Rate,Stockport Road (Levenshulme),Levenshulme,Handed To Driver,No Loading at Any Time,£70.00,2
06/02/2021 13:28,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 13:28,£0.00,Cancelled,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
06/02/2021 13:30,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 13:30,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 13:34,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 13:35,-£30.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 13:35,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 13:36,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
06/02/2021 13:36,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 13:36,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 13:36,£0.00,Pre-NtO Full Rate,TASLE ALLEY,Central,Affixed to vehicle,No Waiting At Any Time,£70.00,1
06/02/2021 13:39,-£30.00,Post NtO,Rochdale Road (Lathbury Road to Queens Road),MP&NH,CCTV Issue,Restricted Area,£0.00,34
06/02/2021 13:43,£0.00,Cancelled,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
